review,sentiment
"but there must be something other than the casting and manipulation that makes the movie work as well as it does , because i absolutely hated the previous ryan/hanks teaming , sleepless in seattle .",positive
"it couldn't have been the directing , because both films were helmed by the same woman .",positive
"i haven't quite yet figured out what i liked so much about you've got mail , but then again , is that really important ?",positive
"if you like something so much , why even question it ?",positive
"again , the storyline is as cliched as they come .",positive
"tom hanks plays joe fox , the insanely likeable owner of a discount book chain and meg ryan plays kathleen kelley , the even more insanely likeable proprietor of a family-run children's book shop called , in a nice homage , the shop around the corner .",positive
fox and kelley soon become bitter rivals because the new fox books store is opening up right across the block from the small business .,positive
"little do they know , they are already in love with each other over the internet , only neither party knows the other person's true identity .",positive
the rest of the story isn't important because all it does is serve as a mere backdrop for the two stars to share the screen .,positive
"sure , there are some mildly interesting subplots , but they all fail in comparison to the utter cuteness of the main relationship .",positive
"all of this , of course , leads up to the predictable climax .",positive
"but as foreseeable as the ending is , it's so damn cute and well-done that i doubt any movie in the entire year contains a scene the evokes as much pure joy as this part does .",positive
"when ryan discovers the true identity of her online love , i was filled with such , for lack of a better word , happiness that for the first time all year , i actually left the theater smiling .",positive
""" jaws "" is a rare film that grabs your attention before it shows you a single image on screen .",positive
"the movie opens with blackness , and only distant , alien-like underwater sounds .",positive
"then it comes , the first ominous bars of compositiveer john williams' now infamous score .",positive
dah-dum .,positive
"from there , director steven spielberg wastes no time , taking us into the water on a midnight swim with a beautiful girl that turns deadly .",positive
"right away he lets us know how vulnerable we all are floating in the ocean , and once "" jaws "" has attacked , it never relinquishes its grip .",positive
"perhaps what is most outstanding about "" jaws "" is how spielberg builds the movie .",positive
"he works it like a theatrical production , with a first act and a second act .",positive
"unlike so many modern filmmakers , he has a great deal of restraint , and refuses to show us the shark until the middle of the second act .",positive
"until then , he merely suggests its presence with creepy , subjective underwater shots and williams' music .",positive
"he's building the tension bit by bit , so when it comes time for the climax , the shark's arrival is truly terrifying .",positive
he doesn't let us get bored with the imagery .,positive
"the first act opens with police chief martin brody ( roy scheider ) , a new york cop who has taken an easy , peaceful job running the police station on amity island , a fictitious new england resort town where there hasn't been a murder or a gun fired in 25 years .",positive
"the island is shaken up by several vicious great white shark attacks right before the fourth of july , and the mayor , larry vaughn ( murray hamilton ) , doesn't want to shut down the beaches because the island is reliant on summer tourist money .",positive
"brody is joined by matt hooper ( richard dreyfuss ) , a young , ambitious shark expert from the marine institute .",positive
"hooper is as fascinated by the shark as he is determined to help brody stop it -- his knowledge about the exact workings of the shark ( "" it's a perfect engine , an eating machine "" ) make it that much more terrifying .",positive
"when vaughn finally relents , hooper and brody join a crusty old shark killer named quint ( robert shaw ) on his decrepit boat , the orca , to search for the shark .",positive
"the entire second act takes place on the orca as the three men hunt the shark , and inevitably , are hunted by it .",positive
""" jaws "" is a thriller with a keen sense of humor and an incredible sense of pacing , tension , and horror .",positive
"it is like ten movies all rolled into one , and it's no wonder it took america by storm in the summer of 1975 , taking in enough money to crown it the box office champ of all time ( until it was unceremoniously dethroned in 1977 by "" star wars "" ) .",positive
"even today , fascination with this film is on par with hitchcock's "" psycho , "" and it never seems to age .",positive
"although grand new technology exists that makes the technical sequences , including several mechanical sharks , obsolete , none of it could improve the film because it only would lead to overkill .",positive
"the technical limitations faced by spielberg in 1975 may have actually produced a better film because it forced him to rely on traditional cinematic elements like pacing , characterization , sharp editing , and creative photography , instead of simply dousing the audience with digital shark effects .",positive
"scheider , dreyfuss , and shaw were known actors at the time "" jaws "" was made , but none of them had the draw of a robert redford or paul newman .",positive
"nevertheless , this film guaranteed them all successful careers because each gave an outstanding performance and refused to be overshadowed by the shark .",positive
scheider hits just the right notes as a sympathetic husband and father caught in the political quagmire of doing what's right and going against the entire town .,positive
""" it's your first summer here , you know , "" mayor vaughn warns him .",positive
"dreyfuss , who had previously been seen in "" american graffiti "" ( 1973 ) and "" the apprenticeship of duddy kravitz "" ( 1974 ) gives a surprisingly mature , complex performance for someone who had literally only played kids and teenagers .",positive
"however , most outstanding is the gnarled performance by robert shaw as the movie's captain ahab , a performance sorely overlooked by the academy awards .",positive
"bordering of parody , shaw plays quint as a grizzled old loner whose machismo borders on masochism .",positive
"he's slightly deranged , and shaw's performance is almost a caricature .",positive
"however , there is one scene late in the film , when he and brody and hooper are below deck on the orca comparing scars .",positive
quint is drawn into telling the story of his experiences aboard the u . s . s .,positive
"indianapolis , a navy ship in world war ii that was sunk by the japanese .",positive
"his tale of floating in the water for more than a week with over 1 , 000 other men while swarms of sharks slowly devoured them them is actually more hair-raising than anything spielberg put on screen .",positive
"shaw delivers the story in one long take , and it is the best acting in the film .",positive
"a shark is such a perfect nemesis it is real -- having survived sinch the dinosaurs , great whites do exist , they can be as large as the shark in "" jaws , "" and they are a threat .",positive
"every one of spielberg's subjective underwater shots makes us feel queasy because lets us see how we look to the shark : a bunch of writihing , dangling , completely unprotected legs just ready to be chomped into .",positive
"the shark in "" jaws "" was actually a combination of actual footage and five different mechanical sharks ( all nicknamed "" bruce "" by the crew ) built to be shot from different angles .",positive
"many have forgotten , but "" jaws "" was a sort of precursor to "" waterworld "" ( 1995 ) , a movie's who soggy production and cost overruns had universal studios worried about a bomb .",positive
"but , as we can see now , spielberg overcame all the obstacles , and delivered one of the finest primal scare-thrillers ever to come out of hollywood .",positive
moviemaking is a lot like being the general manager of an nfl team in the positivet-salary cap era -- you've got to know how to allocate your resources .,positive
every dollar spent on a free-agent defensive tackle is one less dollar than you can spend on linebackers or safeties or centers .,positive
"in the nfl , this leads to teams like the detroit lions , who boast a superstar running back with a huge contract , but can only field five guys named herb to block for him .",positive
"in the movies , you end up with films like "" spawn "" , with a huge special-effects budget but not enough money to hire any recognizable actors .",positive
jackie chan is the barry sanders of moviemaking .,positive
he spins and darts across the screen like sanders cutting back through the defensive line .,positive
"watching jackie in operation condor as he drives his motorcycle through the crowded streets of madrid , fleeing an armada of pursuers in identical black compact cars , is reminiscent of sanders running for daylight with the chicago bears in hot pursuit , except that sanders doesn't have to worry about rescuing runaway baby carriages .",positive
"but like the lions star , jackie doesn't have anybody to block for him .",positive
"almost every cent that's invested in a jackie chan movie goes for stunts , and as chan does his own stunts , the rest of the money goes to pay his hospital bills .",positive
"this leaves about 75 cents to pay for things like directors ( chan directs ) , scripts and dubbing and supporting characters , not to mention the hideous title sequence .",positive
this also explains why the movie was shot in odd places like morocco and spain .,positive
"( chan's first release in this country , "" rumble in the bronx "" , was suppositiveedly set in new york , but was filmed in vancouver , and in the chase scenes the canadian rockies are clearly visible . )",positive
"heck , jackie doesn't even have enough money for a haircut , looks like , much less a personal hairstylist .",positive
"in condor , chan plays the same character he's always played , himself , a mixture of bruce lee and tim allen , a master of both kung-fu and slapstick-fu .",positive
"jackie is sent by the un to retrieve a cache of lost nazi gold in the north african desert , and is chased by a horde of neo-nazi sympathizers and two stereotypical arabs ( one of the things i like about jackie chan movies : no political correctness ) .",positive
"he is joined by three women , who have little to do except scream , "" jackie , save us ! "" , and misuse firearms .",positive
"the villain is an old nazi whose legs were broken in the secret base so that he has to be carried everywhere , and he's more pathetic than evil .",positive
"en route , we have an extended motorcycle chase scene , a hilarious fight in the moroccan version of motel 6 with the neo-nazis , and two confrontations with savage natives .",positive
"once at the secret desert base , there is a long chop-socky sequence , followed by the film's centerpiece , a wind-tunnel fight that's even better than the one in face/off .",positive
"this is where the money was spent , on well-choreographed kung-fu sequences , on giant kevlar hamster balls , on smashed-up crates of bananas , and on scorpions .",positive
"ignore the gaping holes in the plot ( how , exactly , if the villain's legs were broken , did he escape from the secret nazi base , and why didn't he take the key with him ? ) .",positive
"don't worry about the production values , or what , exactly , the japanese girl was doing hitchhiking across the sahara .",positive
just go see the movie .,positive
"operation condor has pretentions of being a "" raiders of the lost ark "" knockoff , but one wonders what jackie could do with the raiders franchise blocking for him -- with a lawrence kazdan screenplay , a john williams score , spielberg directing and george lucas producing , condor might be an a+ movie .",positive
"however , you've got to go with what you've got , and what you've got in jackie chan is something special -- a talent that mainstream hollywood should , could , and ought to utilize .",positive
"on june 30 , 1960 , a self-taught , idealistic , yet pragmatic , young man became , at age 36 , the first head of government of a newly independent african state , formerly the belgian congo .",positive
"two months later , he was ousted from his powerful positiveition and hunted by government troops until he was captured and brutally murdered along with two aides .",positive
"this little-known story of this meteoric rise and fall is told my international filmmaker raoul peck in "" lumumba . """,positive
"patrice lumumba's ( eriq ebouaney ) story has been told previously by helmer peck in his 1991 award winning documentary , "" lumumba - death of a prophet , "" virtually guaranteeing that his new , fictional account of a patriot remains true to its subject .",positive
"peck , with co-writer pascal bonitzer , begins at the end of the story of the young political leader .",positive
we watch as two white men perform the gruesome task of dismembering the bodies of three black men .,positive
"images of hatchets , saws and fast-emptying whiskey bottles accompany the grisly image .",positive
jump back a few years to a meeting among the black leaders in the belgian-owned congo .,positive
"a third class positivetal worker , lumumba , speaks his mind to heads of the most powerful tribes , proclaiming himself not tribal , not regional , but a national leader .",positive
"his small , mobile party , the congolese national movement ( mnc ) is gaining prominence and patrice leaves his clerical job to sell beer , and get his face known , in the bustling capital , stanleyville .",positive
"at a time when the colonial empires are falling down around the world , lumumba is in the right place at the right time and , through political savvy and chess-like manipulation , achieves a positiveition of leadership of the mnc .",positive
"as the date for independence approaches , he tactically positiveitions himself to be the new nation's first prime minister and defense minister , supporting the presidency of joseph kasa vubu ( maka kotto ) .",positive
"the coalition he created soon starts to fall apart as the former belgian masters continue to exert influence on the struggling nation as they strive to maintain economic hold on the country's vast natural resources of copper , diamonds , gold and more .",positive
"lumumba won't seek the help of the us , knowing that they would try to create de facto american control of the fledgling government .",positive
his initial investigation into soviet assistance immediately tags patrice as a communist and his integrity is overshadowed by the cold war threat of russian domination .,positive
"the situation goes from bad to worse as the army mutinies , the remaining whites begin to evacuate or arm themselves , belgian troops violently intervene , the lucrative katanga province succeeds under the leadership of rival moise tschombe ( pascal nzonzi ) and lumumba is refused access to his own country when he returns from a conference abroad .",positive
this tumultuous and little known period of modern african history saw a score of nations struggling for independence from the sometimes-odious colonialists who have ruled much of the world from their european seats of power for centuries .,positive
"peck focuses his story on familiar material that strives to give an honest portrayal of patrice lumumba , his friend and foes and the independence movements that gripped africa in the 50's and 60's .",positive
"( during the time the story takes place , many new nations , including nigeria and somalia , were born , with varying degrees of success and failure , usually dependent upon which country colonized them .",positive
some colonial masters were better than others . ),positive
"the effort involved in "" lumumba "" is quite ambitious as peck and his crew before and behind the camera strive to bring to life this slice of world history that might have gone unexplored for decades , if at all .",positive
"production values are first rate on what must be a small , by us standards , budget .",positive
the period feel and realistic african settings are nicely maintained in a production that traveled from zimbabwe to mozambique .,positive
the screenplay covers a lot of ground and does yeoman's work in providing a great deal of detailed history while trying to do justice to the story of lumumba's life .,positive
"the political side of things is evenly told in a linear , straightforward manner that teaches , not preaches .",positive
"it concentrates on the good deeds of the man , if a bit as a stalwart saint , but doesn't embellish on a larger than life persona .",positive
"the family side of patrice's life is handled in several , perfunctory and brief interludes that show him talking to one of his children , embracing his wife or lamenting the death of his child .",positive
"i know the intent is to flesh the man out , but too short a shrift is given to the family man side of lumumba .",positive
"the story , as such , has a lopsided feel about it .",positive
high marks go to eriq ebouaney as the title character .,positive
"the actor gives a convincing , charismatic performance as the multifaceted , politically deft patrice lumumba who has the good of his people and his country as the force driving his own ambitions .",positive
"in true docudrama tradition , the supporting cast does not outshine the star , complementing his good efforts , instead .",positive
""" lumumba "" is a solid , interesting , educational and honest docudrama that should appeal to film buffs and politicos , both .",positive
it has more intelligence in its telling than anything i've seen out of hollywood for months and i give it a b+ .,positive
"apparently , director tony kaye had a major battle with new line regarding his new film , american history x . i don't know the details of the fight , but it seems that he is not happy with the final product , and nearly removed his name from the credits altogether .",positive
"i've heard about this kind of thing happening before , and it makes me wonder how much input a studio has over the films they produce .",positive
"as it is , i found american history x to be an extremely good film , not just because of tony kaye's focused look at the touchy subject of racism , but because of a powerful , charismatic performance from edward norton .",positive
"it's hard to believe that it has only been two years since norton's fantastic role in primal fear , but , here he is now , starring in his own film and making himself a star .",positive
"norton is one of those performers who becomes his character , and his work in american history x is one of the very best performances this year .",positive
"he plays a young man named derek vinyard , a skinhead living in venice beach with his brother , danny ( edward furlong ) , mother ( beverly d'angelo ) , and sister , davin ( jennifer lien ) .",positive
"the film opens with a flashback , in which derek brutally kills two black men vandalizing his car .",positive
"we find out that this lands him in prison , and the film from that point is seen through the eyes of danny .",positive
"in the present-time of the film , danny is in high school , and eager to follow the footsteps of his brother .",positive
"much of the film is told in flashback , and we see the path that leads to derek's adoption of white supremacy .",positive
"what makes this all interesting is that these two young men are not stupid , thoughtless people -- they are intelligent and articulate , and voice their beliefs in disturbingly straightforward terms .",positive
"it's hard to make a controversial movie and not preach , but kaye has found the right note for his material .",positive
"because american history x is a mainstream film , there has to be a redemption phase for our main character -- some people may think that this is the only way to make him sympathetic .",positive
"i partially disagree with this , because , although i do not advocate racism in any way , it's interesting the way kaye presents derek -- he is a loud , obnoxious man , but he's also very smart .",positive
the reasons for why he becomes a skinhead are believable -- his father was arbitrarily killed by a group of black men .,positive
"it's clear that he's passionate about his beliefs , and that he's not just a punk looking for an excuse to beat people up .",positive
"of course , it helps that kaye has an actor as talented as norton to play this part .",positive
it's astonishing how frightening norton looks with a shaved head and a swastika on his chest .,positive
"in addition to getting the look just right , he's perfect for this role -- derek requires intelligence , depth , and a whole lot of shouting , and norton does it all with ease .",positive
"even when he's at his meanest , derek has a likable quality to him , and that's a gutsy approach when telling a story about a skinhead .",positive
what adds depth to the story is a subplot in which the principal of danny's school ( avery brooks ) becomes obsessed with purging the hatred from danny .,positive
"the other performances are all terrific , with standouts from furlong , d'angelo , and lien .",positive
"visually , the film is very powerful .",positive
"kaye indulges in a lot of interesting artistic choices , and most of them work nicely -- lots of slow-motion and strange camera angles add to a moody atmosphere .",positive
"but , like a lot of movies lately , american history x skims past greatness in the last few minutes .",positive
"although the climactic scene is very moving , the picture ends with a pretentious , preachy resolution featuring a brief narration from a character who was killed .",positive
"for a movie so smart a subtle up until that point , it felt like a slap in the face to be hand-fed a theme in such a simplistic way .",positive
"it makes me wonder what , exactly , tony kaye disliked about the final version of his film .",positive
perhaps this last scene was the problem .,positive
"it's hard to imagine any director not being at least partially pleased with a film this good -- in a time when so many movies are timid and weak , american history x manages to make a compelling argument for racism without advocating it any way .",positive
one of my colleagues was surprised when i told her i was willing to see betsy's wedding .,positive
and she was shocked to hear that i actually liked it .,positive
"her reaction was understandable when you consider that the film revolves around molly ringwald , who hasn't made a worthwhile film since 1986 .",positive
"but the fact is , betsy's wedding is also an alan alda film .",positive
"and while ringwald has been making duds for the last four years , alda has been involved with several noteworthy projects , including crimes and misdemeanors and a new life .",positive
"written and directed by alda , betsy's wedding is a vibrant slice-of-life , mixing a few dramatic moments into a big bowl of whimsical humor .",positive
alda's comic elixir is smooth and refreshing--and a welcome change of pace from the usual summer fare .,positive
"as bride and groom , molly ringwald and dylan walsh are the pivotal characters in the film , but they are by far the least interesting .",positive
"walsh is a nonentity , with all the screen presence of a door knob .",positive
ringwald is simply unbearable and is easily the weakest link in the chain .,positive
"she looks hideous with her short-cropped orange hair , red lip-stick and grotesque outfits .",positive
"she's suppositiveed to be a dress designer , but she looks more like a clown .",positive
"and to make matters worse , ringwald's performance matches her appearance .",positive
"the wedding is just a device to bring together the bride's working-class , italian family and the groom's rich , gentile family .",positive
"ringwald's folks are homey and down-to-earth , with alda as her free-spirited father , madeline kahn as her practical mother , and ally sheedy as her lonely sister .",positive
"walsh's clan , on the other hand , is prim , proper and ostentatious .",positive
"when the two families meet and mingle , the movie becomes a story of culture clash , or as one character puts it , "" money versus values . """,positive
"ally sheedy , in a wonderfully understated performance , is one of the film's most pleasant surprises .",positive
sheedy expresses more with just her eyes than ringwald does with her entire body .,positive
"it's anthony lapaglia , however , who seizes the spotlight .",positive
"lapaglia plays stevie dee , a suave , overly polite mafioso who is formally courting sheedy with old-fashioned chivalry .",positive
lapaglia's sincere but dim-witted character is a riot .,positive
"and what's uncanny is that lapaglia is a dead ringer for robert de niro , with a little bit of alec baldwin thrown in for good measure .",positive
"lapaglia seems to have attended the de niro school of gangster acting , and his inspired performance is partly a tribute to his role-model and partly a rip-off .",positive
"i don't know whether to say a star is born or a star is re-born , but i do know that lapaglia's over-the-top performance should not be missed .",positive
"the scrumptious comic acting , however , extends well beyond sheedy and lapaglia .",positive
"joe pesci , in particular , sinks his teeth into his role as alda's unscrupulous brother-in-law , a slum lord with mob ties , who is cheating on his wife ( catherine o'hara ) .",positive
"alda , faced with challenge of both directing and acting , somehow finds just the right comic touch as the bride's financially-strapped father , a carpenter whose dreams are bigger than his wallet .",positive
"the film adopts alda's psychological point of view as he tries to one : plan the wedding , and two : pay for it .",positive
"as a filmmaker , alda's style of humor is remarkably restrained and tasteful .",positive
"and while he doesn't have the comic genius of a woody allen , alda does positivesess the inspiration to make movies which are ten times more entertaining than the slop which usually passes for comedy .",positive
"after bloody clashes and independence won , lumumba refused to pander to the belgians , who continued a condescending and paternalistic relationship with the congo .",positive
"their officers , particularly general janssens ( rudi delhem ) in the force publique , the congo's army , caused rebellions , undermining lumumba , who was outraged at the rape and murder of belgian nationals .",positive
"with unrest building , moise tshombe ( pascal nzonzi ) and the province of katanga , which contained 70 percent of the country's resources , proclaimed secession .",positive
"lumumba replaced janssens , making mobutu a colonel , and went on a pacification",positive
"tour with congolese president joseph kasa vubu ( maka kotto ) , but it was too late .",positive
"'when you want to drown a dog , you say it has rabies , ' prophesies lumumba of his own fate .",positive
"peck and bonitzer do an exemplary job telling a complicated tale with a myriad of players , although they frequently succumb to cliche , particularly regarding lumumba's private life .",positive
"peck's script illuminates bantu sayings like 'the hand that gives , rules' when lumumba uses it with the american ambassador .",positive
"peck's direction is less assured , with many scenes unfortunately playing like standard television fare .",positive
"he's served well , though , by his casting of ebouaney in the title role .",positive
"ebouaney is dynamic , radiating his character's fierce passion for his people and his country .",positive
"lumumba's intelligence and ability to strategize , even as he's cornered by insurmountable odds , are given life by ebouaney .",positive
peck's subject and lead actor elevate his film above its mediocre production .,positive
""" lumumba "" is a story that deserves to be told and ebouaney's performance makes the tragedy personally felt .",positive
the american action film has been slowly drowning to death in a sea of asian wire-fu copycats .,positive
"it's not a pretty death , and it's leaving the likes of schwartznager , stallone , and van damme wearing cement galoshes at the bottom of a kung fu sea .",positive
"sometimes , the mix results in a mind-blowing spectacle unlike any other .",positive
"quality action with amazing and exciting stunt work , as in 1999's the matrix , can be a real gem .",positive
"but too often hollywood gets it wrong , even when they pay off chinese directors .",positive
flying ninjas and floating karate masters have been replaced by soaring bronx detectives and slow motion kicking scientists .,positive
mostly it's laughable .,positive
"in hollywood's rush to emulate the success of the matrix , trademark asian stunt choreography has become more of a joke than an art form .",positive
"but iron monkey , the latest asian import , shows us how to get it right .",positive
"iron monkey ( actually a reissue of a 1993 film ) is the story of a 19th chinese vigilante ( rongguang yu ) , fighting with his own unique style of shaolin kung fu for the rights of the oppressed and the bellies of the hungry .",positive
"but it is also a piece of the narrative of legendary chinese film hero wong fei-hong , most recently seen in one of the most overlooked , and positivesibly best films of 2000 , drunken master 2 ( released in the u . s . as the legend of drunken master ) .",positive
"unlike drunken master 2 , which stars jackie chan as an adult fei-hong , iron monkey finds a much younger fei-hong ( sze-man tsang ) and his father wong kei-ying ( yen chi dan ) thrust into the middle of iron monkey's fight against oppression .",positive
"iron monkey succeeds as no kung fu film since drunken master 2 . at times , fighting styles , especially that of monkey himself , do devolve into the ridiculous twinkle-toed floating of films like crouching tiger , hidden dragon , director yuen wo ping eventually remembers to bring his action scenes back to earth .",positive
"iron monkey is at its heart a hardcore , kung fu action film rather than any kind of drama a la crouching tiger .",positive
"however , there are brief moments of profoundness shared between characters , such as those that pass between our outlaw hero and his good-hearted but misguided enemy , chief fox .",positive
"in those moments , and in others , iron monkey manages to transcend its mindless kung fu nature to touch the hearts and minds of its audience .",positive
"while in no way the equal of a masterpiece like drunken master 2 , iron monkey dances quite nicely to the invading kung fu tune .",positive
aka siunin wong fei-hung tsi titmalau .,positive
"after watching "" rat race "" last week , i noticed my cheeks were sore and realized that , when not laughing aloud , i had held a grin for virtually all of the film's 112 minutes .",positive
"saturday night , i attended another sneak preview for the movie and damned if i didn't enjoy it as much the second time as the first .",positive
""" rat race "" is a great goofy delight , a dandy mix of energetic performances , inspired sight gags and flat-out silliness .",positive
"hands down , this is the most fun film of the summer .",positive
"the movie begins with zippy retro-style opening credits that look like they were torn straight out of a '60s slapstick comedy , featuring animated photos of the cast attached to herky-jerky bodies bounding around the screen .",positive
then comes the setup .,positive
"donald sinclair ( john cleese ) , the extremely rich owner of the venetian hotel and casino in las vegas , enjoys concocting unusual bets for his high rolling clients .",positive
"to that end , he places a half dozen very special tokens in his slot machines .",positive
"gathering together the lucky token holders , he explains , "" today you have a chance to play a game where the odds of winning are one in six . """,positive
"the competition is simple : each contestant gets a key that opens a locker in silver city , n . m . , containing $2 million in cash .",positive
"there is a transmitter in every key , so that sinclair and his cronies can keep track of who is ahead .",positive
the race has no rules ? whichever contestant reaches the locker first gets the money .,positive
"since it would be wrong to spoil any of the jokes , let's use the next few paragraphs to profile the racers .",positive
"decked out in flashy , trashy clothing and sporting big hair , vera baker ( whoopi goldberg ) is in town to reunite with the daughter she gave up for adoption as a baby .",positive
"she finds that grown-up merrill ( lanai chapman ) is erudite , conservative and more than a little bit wary of this stranger trying to jump into her life .",positive
